id,department,total_logins
357,departamento de ciencias naturales,40
359,departamento de psicopedagogía,82
360,departamento de ciencias jurídicas,37
361,departamento de psicopedagogía,21
364,departamento de ciencias naturales,11
365,departamento de ciencias naturales,1
366,departamento de ciencias naturales,6
372,departamento de ciencias naturales,1
373,"departamento de cultura física, recreacion y deporte",47
377,"departamento de cultura física, recreacion y deporte",4
378,"departamento de cultura física, recreacion y deporte",52
381,"departamento de cultura física, recreacion y deporte",3
382,"departamento de cultura física, recreacion y deporte",1
383,"departamento de cultura física, recreacion y deporte",2
384,departamento de psicopedagogía,8
385,"departamento de cultura física, recreacion y deporte",2
386,"departamento de cultura física, recreacion y deporte",1
390,"departamento de cultura física, recreacion y deporte",1
391,"departamento de cultura física, recreacion y deporte",2
394,departamento de idiomas extranjeros,2
397,"departamento de cultura física, recreacion y deporte",8
403,departamento de ing agronómica y desarrollo rural,5
405,departamento de ing agronómica y desarrollo rural,38
409,departamento de física y electrónica,12
411,departamento de ing agronómica y desarrollo rural,48
415,departamento de ing agronómica y desarrollo rural,34
416,departamento de química,9
417,departamento de matemáticas y estadística,22
418,departamento de idiomas extranjeros,6
419,departamento de ing agronómica y desarrollo rural,4
422,departamento de ing agronómica y desarrollo rural,1
423,departamento de ing agronómica y desarrollo rural,40
425,departamento de ing agronómica y desarrollo rural,3
428,departamento de ing agronómica y desarrollo rural,16
429,departamento de ing agronómica y desarrollo rural,44
431,departamento de ing agronómica y desarrollo rural,4
432,departamento de ing agronómica y desarrollo rural,21
433,departamento de idiomas extranjeros,3
438,departamento de ciencias administrativas,15
439,departamento de ingeniería de alimentos,56
442,departamento de química,21
445,departamento de idiomas extranjeros,2
446,departamento de ciencias jurídicas,99
447,departamento de psicopedagogía,2
449,departamento de idiomas extranjeros,31
450,departamento de matemáticas y estadística,9
451,departamento de matemáticas y estadística,43
453,departamento de química,2
454,departamento de química,39
455,departamento de química,1
459,departamento de química,86
460,departamento de química,13
461,departamento de química,43
462,departamento de química,11
463,departamento de química,14
464,departamento de química,20
465,departamento de química,1
467,departamento de química,3
472,departamento de geografía y medio ambiente,12
473,departamento de geografía y medio ambiente,40
474,departamento de geografía y medio ambiente,83
476,departamento de idiomas extranjeros,25
477,departamento de geografía y medio ambiente,3
478,departamento de geografía y medio ambiente,14
480,departamento de matemáticas y estadística,14
481,departamento de geografía y medio ambiente,165
482,departamento de geografía y medio ambiente,7
483,departamento de geografía y medio ambiente,52
484,departamento de geografía y medio ambiente,16
487,departamento de geografía y medio ambiente,23
489,departamento de geografía y medio ambiente,117
