COD_DANE_DEPARTAMENTO;Departamento;Cod_sec retaria;SECRETARIA;COD_DANE_MUNICIPIO;MUNICIPIO;EST_ID;Codigo Dane EE;Nombre EE;SEDE_ID;Codigo Dane Sede;Nombre Sede;Dirección Sede;Zona
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13890;123670000383;IE ALIANZA;76684;123670000383;IE ALIANZA;TRV. 6 # 3A-14;URBANA
23;Córdoba;3781;CORDOBA;23068;Ayapel;26782;123068000232;IE PABLO VI;75321;123068000232;IE PABLO VI;CRA 9 Nª 8-96;URBANA
23;Córdoba;3781;CORDOBA;23189;Cienaga De Oro;19835;123189000027;IE MARCO FIDEL SUAREZ;63427;123189000027;IE MARCO FIDEL SUAREZ;B LA X VIA CERETE;URBANA
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13891;123670000413;IE SAN SIMON;76688;123670000413;IE SAN SIMON;CARRETERA VIA TUCHIN;URBANA
23;Córdoba;3781;CORDOBA;23350;La Apartada;20700;223068000113;IE LUIS FERNANDO GONZALEZ B (ANTES SAN JOSE);72403;223068000113;IE LUIS FERNANDO GONZALEZ (ANTES SAN JOSE);B. TIERRA STA;URBANA
23;Córdoba;3781;CORDOBA;23686;San Pelayo;14232;123686000022;INST EDU JOSE ANTONIO GALAN;74377;123686000022;JOSE ANTONIO GALAN;BARRIO GALAN;URBANA
23;Córdoba;3781;CORDOBA;23670;San Andrés de Sotavento;13892;223670000019;IE TECN AGROP DORIBEL TARRA;76691;223670000019;IE TECN AGROP DORIBEL TARRA;CASERIO CRUZ DEL GUAYABO;RURAL
23;Córdoba;3781;CORDOBA;23815;Tuchín;13911;223670001341;INSTITUCION EDUCATIVA TECNICA AGROPECUARIA DE VIDALES;73955;223670001341;INSTITUCION EDUCATIVA TECNICA AGROPECUARIA DE VIDALES;CORREGIMIENTO DE CERRO VIDALES;RURAL
23;Córdoba;3781;CORDOBA;23466;Montelíbano;14618;223466003092;INST..EDC TEC. AGROPECUARIO CLARET;73884;223466003092;INST..EDC TEC. AGROPECUARIO CLARET;CORREG.TIERRADENTRO;RURAL
23;Córdoba;3781;CORDOBA;23855;Valencia;111412;123855000088;INSTITUCION EDUCATIVA MANUELA BELTRAN;75243;123855000088;C.E. MANUELA BELTRAN - SEDE PRINCIPAL;IND BARRIO LA CRUZ;URBANA
