,id,department,timecreated,rol,userid
280306,17910,,1718211575,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280317,11779,Departamento De Ciencias Sociales,1718221475,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
280574,17910,,1718659048,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280602,17910,,1718709258,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280612,17910,,1718721650,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280613,17910,,1718724794,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
280673,11779,Departamento De Ciencias Sociales,1718759549,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
280772,11779,Departamento De Ciencias Sociales,1719068255,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
280779,11779,Departamento De Ciencias Sociales,1719071436,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
280786,11779,Departamento De Ciencias Sociales,1719075769,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
280961,17910,,1719317730,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281093,17910,,1719433049,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281355,17910,,1719769719,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281364,17910,,1719771503,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281389,17910,,1719793651,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281433,17910,,1719853586,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281659,17910,,1720019024,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281661,17910,,1720019442,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
281801,11779,Departamento De Ciencias Sociales,1720106128,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
281976,17910,,1720208278,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282121,17910,,1720366261,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282128,17910,,1720377905,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282163,17910,,1720454684,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282174,17910,,1720465872,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282175,17910,,1720470482,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282181,11779,Departamento De Ciencias Sociales,1720476214,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
282226,16136,DEPARTAMENTO DE IDIOMAS EXTRANJEROS D P,1720559426,editingteacher,e94a5a3661d960379bdaae4c00c7ef5b3d1786258e54640b054f0e9907ea062a
282244,17910,,1720625177,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282246,17910,,1720626479,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282250,17910,,1720628448,editingteacher,b51017e9c3652a3aab76f2a92b6f081aad9c36e7a89a446717f00ef63535f452
282324,11779,Departamento De Ciencias Sociales,1721232531,editingteacher,5c878553bcfc37a6638a5d4e25f2a94f41925ac0c2936f040365597d7c255d0e
293340,17924,Departamento De Español y Literatura,1712000017,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295541,17924,Departamento De Español y Literatura,1714437932,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295544,17924,Departamento De Español y Literatura,1714441067,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295594,17924,Departamento De Español y Literatura,1714518211,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295596,17924,Departamento De Español y Literatura,1714518596,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295667,17924,Departamento De Español y Literatura,1714690612,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295706,17924,Departamento De Español y Literatura,1714766725,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
295877,17924,Departamento De Español y Literatura,1715108520,editingteacher,fc5c46a74823458686f3dd45ef32455747365f983358a72bea126d284b4e9982
