,id,department,timecreated,rol,userid
241890,657,Departamento De Idiomas Extranjeros,1720391452,editingteacher,3d804fd804335bb4adb1631806ade334a8ea09f9156dd9e77745c92306b521fd
241905,119,,1720408183,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241908,119,,1720437448,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241928,243,Dpto Ciencias Administrativas,1720465813,editingteacher,ba93590a753aa8f6723627176f22bf33502bacb35ef0d4eef51d2c7320d8e8bb
241929,572,Departamento De Matemáticas Y Estadístic,1720466984,editingteacher,90fc9da33480ce54c82643132eea5e17f76b11a13957f2bac00a33cf0b7a8ff8
241960,119,,1720519597,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241961,119,,1720520591,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241963,119,,1720529905,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241969,572,Departamento De Matemáticas Y Estadístic,1720535442,editingteacher,90fc9da33480ce54c82643132eea5e17f76b11a13957f2bac00a33cf0b7a8ff8
241980,657,Departamento De Idiomas Extranjeros,1720554561,editingteacher,3d804fd804335bb4adb1631806ade334a8ea09f9156dd9e77745c92306b521fd
241981,119,,1720557530,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241982,119,,1720558733,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241984,119,,1720559432,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241985,119,,1720560771,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
241995,572,Departamento De Matemáticas Y Estadístic,1720588744,editingteacher,90fc9da33480ce54c82643132eea5e17f76b11a13957f2bac00a33cf0b7a8ff8
242007,119,,1720627970,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
242021,119,,1720650866,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
242047,119,,1720711109,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
242075,119,,1720741757,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
242086,119,,1720828323,editingteacher,80fd8200b5be8f86cc25311abbdc047f79e68a21a0fb5a33f8c71866a967677f
242090,472,Departamento De Geografía Y Medio Ambien,1721099092,editingteacher,d308a7d4aac4926377bf063dc5338791adc8a22eb4f713fdae72167de46aa0e3
242093,472,Departamento De Geografía Y Medio Ambien,1721180534,editingteacher,d308a7d4aac4926377bf063dc5338791adc8a22eb4f713fdae72167de46aa0e3
242094,472,Departamento De Geografía Y Medio Ambien,1721230311,editingteacher,d308a7d4aac4926377bf063dc5338791adc8a22eb4f713fdae72167de46aa0e3
243096,14417,Departamento De Enfermería,1712118041,editingteacher,4ff06995440f023315522fe00f5bfaf31c783647e6bb25c66f5653869f8f8a68
244016,14417,Departamento De Enfermería,1713043497,editingteacher,4ff06995440f023315522fe00f5bfaf31c783647e6bb25c66f5653869f8f8a68
244017,14417,Departamento De Enfermería,1713043570,editingteacher,4ff06995440f023315522fe00f5bfaf31c783647e6bb25c66f5653869f8f8a68
244272,19294,,1713279983,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
244373,19294,,1713322358,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
244434,19294,,1713383054,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
244913,19294,,1713899279,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
246265,19294,,1715805383,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247142,19294,,1716865802,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247211,19294,,1716923093,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247296,19294,,1716992472,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247344,19294,,1717018770,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247375,19294,,1717031446,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247466,19294,,1717105793,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247493,19294,,1717114667,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247740,19294,,1717296615,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
247830,19294,,1717461641,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
248045,19294,,1717688982,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
248115,19294,,1717767011,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
248374,19294,,1718135376,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
249629,19294,,1719849423,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
249732,19294,,1719931454,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
249849,19294,,1719978225,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
249870,19294,,1720015847,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250135,19294,,1720198487,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250332,19294,,1720449553,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250388,19294,,1720540150,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250412,19294,,1720627625,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250424,19294,,1720644572,editingteacher,632bcf2e561a170cbb0a0f858f72af00ce1a1067892ae5948d654903182b2099
250586,11785,Departamento de Salud Pblica,1709926515,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
250667,11785,Departamento de Salud Pblica,1710250618,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
250677,11785,Departamento de Salud Pblica,1710253575,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
250956,11785,Departamento de Salud Pblica,1710965073,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
251013,11785,Departamento de Salud Pblica,1711048968,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
253125,11785,Departamento de Salud Pblica,1713614057,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
253921,11785,Departamento de Salud Pblica,1714650335,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
254171,11785,Departamento de Salud Pblica,1715098020,editingteacher,0d3f3da3397b9c67d207de6ad95549f9c60967d3093e3ae6f3175a5b291a401c
